Label,Name,Pronun­ciation,Image,"Abs.
mag.","Dia­meter
(km)","Mass
(× 1015 kg)","Semi-major axis
(km)","Orbital period
(d)","Incli­nation
(°)",Eccen­tric­ity,"Disco­very
year",Year anno­unced,Disco­verer,Group
,S/2017 J 13♥,,,17.0,≈ 1,≈ 0.0042,22842700,−705.50,164.5,0.277,2017,2026,Sheppard,Carme
,S/2021 J 6♥,,,17.3,≈ 1,≈ 0.00052,22870400,−706.77,164.9,0.271,2021,2023,Sheppard et al.,Carme
,S/2003 J 24♥,,,16.6,≈ 2,≈ 0.0042,22882400,−707.33,164.6,0.263,2003,2021,Sheppard et al.,Carme
XXXII,Eurydome‡,/jʊəˈrɪdəmiː/,,16.2,≈ 3,≈ 0.014,22894500,−707.86,148.9,0.287,2001,2002,Sheppard et al.,Pasiphae
LVI,S/2011 J 2‡,,,16.9,≈ 1,≈ 0.00052,22903400,−708.29,151.7,0.358,2011,2012,Sheppard,Pasiphae
,S/2003 J 4‡,,,16.7,≈ 2,≈ 0.0042,22922300,−709.12,148.3,0.327,2003,2003,Sheppard,Pasiphae
,S/2017 J 18♥,,,16.8,≈ 2,≈ 0.0042,22923800,−709.24,164.9,0.254,2017,2026,Sheppard,Carme
XXI,Chaldene♥,/kælˈdiːniː/,,16.0,≈ 4,≈ 0.034,22926300,−709.36,164.7,0.261,2000,2001,Sheppard et al.,Carme
LXIII,S/2017 J 2♥,,,16.8,≈ 2,≈ 0.0042,22949600,−710.42,164.5,0.270,2017,2018,Sheppard,Carme
XXVI,Isonoe♥,/aɪˈsɒnoʊiː/,,15.9,≈ 4,≈ 0.034,22976300,−711.66,164.9,0.249,2000,2001,Sheppard et al.,Carme
,S/2017 J 11♥,,,17.1,≈ 1,≈ 0.00052,22991300,−712.38,164.8,0.268,2017,2025,Sheppard,Carme
,S/2017 J 16♥,,,17.2,≈ 1,≈ 0.00052,23007800,−713.13,164.7,0.268,2017,2026,Sheppard,Carme
XLIV,Kallichore♥,/kəˈlɪkəriː/,,16.2,≈ 2,≈ 0.0042,23017100,−713.59,164.7,0.253,2003,2003,Sheppard,Carme
,S/2021 J 4♥,,,17.4,≈ 1,≈ 0.00052,23019700,−713.71,164.6,0.265,2021,2023,Sheppard,Carme
XXV,Erinome♥,/ɛˈrɪnəmiː/,,16.0,≈ 3,≈ 0.014,23027200,−714.05,164.3,0.272,2000,2001,Sheppard et al.,Carme
XXXVII,Kale♥,/ˈkeɪliː/,,16.1,≈ 2,≈ 0.0042,23047800,−715.02,164.6,0.262,2001,2002,Sheppard et al.,Carme
LVII,Eirene♥,/aɪˈriːniː/,,15.8,≈ 4,≈ 0.034,23051300,−715.19,164.7,0.263,2003,2003,Sheppard,Carme
XXXI,Aitne♥,/ˈeɪtniː/,,16.0,≈ 3,≈ 0.014,23059400,−715.54,164.5,0.273,2001,2002,Sheppard et al.,Carme
XLVII,Eukelade♥,/juːˈkɛlədiː/,,15.9,≈ 4,≈ 0.034,23062400,−715.69,164.7,0.274,2003,2003,Sheppard,Carme
,S/2022 J 2♥,,,17.5,≈ 1,≈ 0.00052,23073400,−716.21,164.7,0.263,2022,2023,Sheppard,Carme
XLIII,Arche♥,/ˈɑːrkiː/,,16.2,≈ 3,≈ 0.014,23093200,−717.11,164.5,0.263,2002,2002,Sheppard,Carme
XX,Taygete♥,/teɪˈɪdʒətiː/,,15.6,≈ 5,≈ 0.065,23103400,−717.59,164.7,0.257,2000,2001,Sheppard et al.,Carme
,S/2016 J 4‡,,,17.3,≈ 1,≈ 0.00052,23113900,−718.04,147.1,0.294,2016,2023,Sheppard,Pasiphae
LXXII,S/2011 J 1♥,,,16.8,≈ 2,≈ 0.0042,23120800,−718.42,164.7,0.269,2011,2012,Sheppard,Carme
XI,Carme♥,/ˈkɑːrmiː/,,10.7,46.7,≈ 53,23139200,−719.28,164.6,0.261,1938,1938,Nicholson,Carme
L,Herse♥,/ˈhɜːrsiː/,,16.5,≈ 2,≈ 0.0042,23146700,−719.63,164.4,0.258,2003,2003,Gladman et al.,Carme
LXI,S/2003 J 19♥,,,16.6,≈ 2,≈ 0.0042,23153100,−719.92,164.6,0.264,2003,2003,Gladman,Carme
,S/2017 J 15‡,,,17.1,≈ 2,≈ 0.0042,23170300,−720.65,149.2,0.232,2017,2026,Sheppard,Pasiphae
LI,S/2010 J 1♥,,,16.5,≈ 2,≈ 0.0042,23185600,−721.43,164.5,0.256,2010,2011,Jacobson et al.,Carme
,S/2003 J 9♥,,,16.9,≈ 1,≈ 0.00052,23195100,−721.88,164.7,0.268,2003,2003,Sheppard,Carme
LXVI,S/2017 J 5♥,,,16.6,≈ 2,≈ 0.0042,23202000,−722.20,164.7,0.261,2017,2018,Sheppard,Carme
,S/2011 J 6♥,,,16.9,≈ 1,≈ 0.00052,23238700,−723.93,164.9,0.261,2011,2026,Sheppard,Carme
LXVII,S/2017 J 6‡,,,16.4,≈ 2,≈ 0.0042,23251200,−724.47,149.6,0.333,2017,2018,Sheppard,Pasiphae
,S/2018 J 5♥,,,17.1,≈ 2,≈ 0.0042,23269900,−725.38,164.9,0.261,2018,2026,Sheppard,Carme
,S/2017 J 12♥,,,17.3,≈ 1,≈ 0.00052,23270500,−725.40,164.8,0.257,2017,2026,Sheppard,Carme
XXIII,Kalyke♥,/ˈkæləkiː/,,15.3,6.9,≈ 0.17,23298000,−726.70,164.7,0.261,2000,2001,Sheppard et al.,Carme
,S/2021 J 7‡,,,17.3,≈ 1,≈ 0.00052,23305900,−727.01,149.4,0.253,2021,2026,Sheppard,Pasiphae
XXXIX,Hegemone‡,/həˈdʒɛməniː/,,15.6,≈ 3,≈ 0.014,23342600,−728.77,152.5,0.357,2003,2003,Sheppard,Pasiphae
,S/2003 J 10♥,,,16.9,≈ 2,≈ 0.0042,23384400,−730.74,164.6,0.257,2003,2003,Sheppard,Carme
,S/2018 J 3♥,,,17.3,≈ 1,≈ 0.00052,23400200,−731.49,164.9,0.268,2018,2023,Sheppard,Carme
,S/2017 J 14‡,,,17.0,≈ 1,≈ 0.00052,23412500,−732.04,142.7,0.436,2017,2026,Sheppard,Pasiphae
,S/2021 J 5♥,,,16.8,≈ 2,≈ 0.0042,23414600,−732.15,164.9,0.272,2021,2023,Sheppard et al.,Carme
